1;2;2;3;0;4
1;9;9;10;10;0
1;3;7;0;8;9
1;4;9;0;10;11
1;5;15;0;0;17
1;6;19;0;0;19
1;8;14;0;0;16
1;12;10;0;11;0
1;13;9;10;0;0
1;14;0;19;0;0
1;30;0;38;0;39
1;33;0;34;0;35
1;34;0;34;0;0
1;39;0;0;0;37
1;42;0;0;0;31
2;3;7;0;8;9
2;4;10;0;11;12
2;8;14;0;0;16
2;9;7;8;8;0
2;34;0;35;0;0
2;37;0;31;0;0
2;42;0;0;0;30
3;4;6;0;7;8
3;5;7;0;8;9
3;7;11;0;0;13
3;8;8;0;9;10
3;9;7;0;0;9
3;12;12;0;12;0
4;7;6;7;0;8
4;8;5;0;6;7
4;12;6;0;7;0
4;15;0;13;0;14
4;16;0;10;0;11
5;6;5;0;6;7
5;8;5;0;6;7
5;9;12;0;0;14
5;10;4;0;5;6
5;15;0;0;0;16
5;67;0;0;0;27
5;68;0;0;0;28
6;7;9;10;0;11
6;8;6;0;7;8
6;10;2;0;0;4
6;11;4;0;5;0
6;14;0;18;0;0
6;26;0;19;0;0
6;66;0;26;0;0
6;67;0;24;0;25
6;68;0;0;0;25
6;70;0;0;0;24
7;8;4;0;5;6
7;15;0;5;0;0
7;16;0;6;0;0
7;24;0;0;0;12
8;12;0;0;0;13
8;14;0;0;0;16
8;68;0;0;0;28
8;70;0;0;0;27
9;10;15;0;14;0
9;11;0;0;15;19
9;37;0;34;0;0
10;11;4;0;5;6
11;66;0;24;0;0
12;13;2;0;3;4
12;14;10;0;11;12
12;70;0;0;0;31
13;14;12;13;12;0
13;18;0;19;0;0
13;33;0;33;0;0
14;15;0;8;0;0
14;16;0;6;0;7
14;17;3;0;4;0
14;18;12;13;0;0
14;20;0;21;0;0
14;24;6;7;7;0
14;33;0;37;0;0
14;49;0;36;0;0
14;66;0;32;0;0
15;16;0;4;0;5
15;24;0;5;0;6
15;26;0;10;0;0
16;24;0;7;0;8
17;18;10;0;11;0
17;19;12;0;0;0
17;24;5;0;6;0
17;25;0;0;14;0
17;26;0;0;9;0
18;19;5;0;0;7
18;20;13;14;0;15
18;50;0;34;0;0
19;20;10;0;0;0
19;21;12;0;0;0
19;25;9;0;10;0
20;21;5;0;6;7
20;49;0;36;0;0
20;52;0;29;0;0
21;22;7;8;8;9
21;23;0;9;9;10
21;59;0;25;0;26
22;23;1;2;2;3
22;25;4;0;5;0
22;57;0;22;0;23
22;59;0;23;0;24
23;25;5;0;6;0
23;26;0;17;0;0
23;56;0;20;0;0
23;59;0;25;0;0
23;70;0;0;0;29
24;26;6;7;7;0
24;63;0;23;0;0
25;26;12;0;12;0
26;62;0;18;0;19
27;28;6;0;7;8
27;29;7;0;8;0
27;30;0;0;0;20
27;31;0;0;0;18
27;33;0;0;0;19
27;36;0;0;0;11
27;39;0;0;0;17
27;41;8;0;0;0
27;44;5;0;0;0
27;48;0;0;0;33
27;67;0;0;0;27
27;73;0;0;0;21
28;29;7;0;8;0
28;36;0;10;0;11
28;43;0;9;0;10
28;44;4;5;5;0
28;61;0;19;0;0
29;30;0;16;0;17
29;31;8;0;9;10
29;35;7;0;8;0
29;43;0;10;0;11
30;31;7;8;8;9
30;32;0;5;0;6
30;33;0;14;0;15
30;36;0;22;0;23
30;39;0;20;0;21
30;42;0;0;0;21
30;48;0;0;0;23
30;49;0;22;0;0
30;51;0;15;0;16
30;68;0;0;0;36
31;33;7;8;8;9
31;36;0;0;0;20
31;39;0;16;0;17
31;42;0;0;0;19
31;43;0;0;0;12
31;48;0;0;0;27
32;37;0;21;0;0
32;43;0;15;0;16
32;46;0;16;0;17
32;48;0;0;0;21
32;49;0;20;0;0
32;51;0;12;0;0
33;34;0;6;6;7
33;35;7;0;8;0
33;37;0;9;0;0
33;39;0;0;0;13
33;42;0;12;0;13
33;67;0;0;0;25
34;35;7;0;8;0
34;37;0;4;0;5
34;38;0;5;0;6
34;39;6;7;7;8
34;42;0;8;0;9
34;66;0;47;0;0
35;41;17;0;15;0
36;34;0;23;0;0
36;39;0;0;0;22
36;43;0;16;0;17
36;44;0;6;0;7
36;73;14;0;13;16
36;54;11;0;12;13
36;55;0;0;0;12
36;59;0;27;0;0
36;68;0;0;0;23
